ID Bandwidth
0 271.976
1 326.829
2 307.645
3 295.963
4 288.755
5 338.275
6 356.622
7 368.015
8 251.836
9 162.413
10 180.604
11 152.339
12 167.204
13 103.275
14 93.8688
15 88.6915
16 170.698
17 169.432
18 89.6248
19 186.947
20 92.2925
21 91.2758
22 178.285
23 90.892
24 173.156
25 90.5533
26 91.1362
27 89.0386
28 177.932
29 152.928
30 89.8403
31 93.6963
32 92.7889
33 171.059
34 97.2271
35 88.8428
36 92.4705
37 111.983
38 89.2574
39 183.543
40 95.4124
41 165.871
42 111.722
43 93.5197
44 170.181
45 97.5915
46 97.3938
47 90.3239
48 89.9693
49 158.296
50 168.387
51 161.151
52 90.6897
53 90.108
54 112.236
55 89.4278
56 91.6738
57 176.112
58 144.64
59 155.548
60 91.83
61 117.055
62 93.1981
63 178.571
64 91.5175
65 109.347
66 185.162
67 92.0445
68 134.308
69 149.907
70 136.654
71 138.489
72 138.007
73 142.89
74 148.041
75 130.25
76 141.481
77 137.579
78 150.851
79 135.409
80 140.67
81 133.449
82 143.423
83 137.09
84 128.774
85 134.609
86 147.407
87 138.95
88 140.18
89 146.702
90 156.503
91 143.924
92 139.367
93 145.832
94 133.85
95 132.596
96 141.955
97 129.708
98 142.451
99 136.269
